City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,stony plain,53.5334,-114.0021,0.24,77,100,1.34,CA,1682168660
302,mariental,-24.6333,17.9667,30.13,22,100,5.99,NA,1682168412
303,miandrivazo,-19.5167,45.4667,32.26,50,2,3.43,MG,1682168661
304,jacareacanga,-6.2222,-57.7528,25.63,91,100,1.02,BR,1682168662
305,wukari,7.85,9.7833,38.81,30,13,3.1,NG,1682168664
306,bayangol,50.6977,103.4656,-4.48,51,9,1.54,RU,1682168664
307,otradnoye,59.7775,30.8181,15.03,46,9,4.39,RU,1682168665
308,nantucket,41.2835,-70.0995,11.16,83,100,8.23,US,1682168665
309,lagoa,39.05,-27.9833,16.35,87,26,6.07,PT,1682168666
310,strezhevoy,60.7333,77.5889,2.92,99,100,3.48,RU,1682168505
311,markova,48.6758,24.4138,13.84,49,99,2.18,UA,1682168667
312,itarema,-2.9248,-39.9167,28.59,68,16,6.85,BR,1682168667
313,pierre,44.3683,-100.351,-0.08,73,0,7.2,US,1682168668
314,lipin bor,60.2622,37.9763,7.47,69,96,3.77,RU,1682168668
315,nikolskoye,59.7035,30.7861,14.94,44,17,4.2,RU,1682168668
316,surovikino,48.6078,42.8486,10.82,79,100,4.07,RU,1682168669
317,olga,43.7444,135.2892,3.38,51,0,2.2,RU,1682168670
318,sangar,63.9242,127.4739,-9.24,94,15,1.55,RU,1682168670
319,owase,34.0667,136.2,9.63,61,11,3.93,JP,1682168576
320,kilembe,0.2,30.0,20.91,79,100,1.55,UG,1682168671
321,abha,18.2164,42.5053,21.14,49,40,6.69,SA,1682168671
322,acarau,-2.8856,-40.12,28.48,69,29,6.95,BR,1682168673
323,yuzhno-kurilsk,44.0306,145.8556,1.89,86,99,5.15,RU,1682168673
324,sayville,40.7359,-73.0821,14.6,94,100,4.12,US,1682168674
325,vilhena,-12.7406,-60.1458,23.19,91,100,2.48,BR,1682168674
326,huangmei,30.1924,116.025,13.04,88,100,3.96,CN,1682168675
327,campbell river,50.0163,-125.2446,7.0,96,100,2.89,CA,1682168675
328,meadow lake,34.8014,-106.5436,8.4,38,100,2.28,US,1682168676
329,tahe,52.3333,124.7333,-1.83,60,100,3.47,CN,1682168676
330,tecoanapa,16.5167,-98.75,24.89,78,100,1.64,MX,1682168677
331,awjilah,29.1081,21.2869,33.41,9,100,5.53,LY,1682168677
332,waynesville,35.4887,-82.9887,12.7,94,47,1.79,US,1682168678
333,mingshui,36.7167,117.5,8.05,82,100,0.28,CN,1682168678
334,radovis,41.6383,22.4647,18.04,46,99,1.74,MK,1682168679
335,lulea,65.5842,22.1547,1.04,86,100,3.6,SE,1682168570
336,florianopolis,-27.6146,-48.5012,21.42,84,40,3.6,BR,1682168681
337,bauchi,10.5,10.0,42.44,12,100,0.66,NG,1682168681
338,ketchikan,55.3422,-131.6461,6.26,81,100,3.6,US,1682168681
339,uarini,-2.99,-65.1083,24.78,90,100,1.18,BR,1682168682
340,verkhniye tatyshly,56.2912,55.8575,7.45,88,100,3.59,RU,1682168682
341,sheridan,44.8333,-106.9173,-2.77,81,100,1.54,US,1682168683
342,paredon,16.0333,-93.8667,27.39,65,30,1.32,MX,1682168683
343,keti bandar,24.1447,67.4497,28.55,59,0,7.31,PK,1682168684
344,issia,6.4922,-6.5856,37.09,33,5,1.81,CI,1682168684
345,khandyga,62.6667,135.6,-2.32,96,92,2.01,RU,1682168685
346,turukhansk,65.8167,87.9833,0.56,97,100,7.44,RU,1682168685
347,sistranda,63.7256,8.834,5.98,66,100,13.09,NO,1682168686
348,sayyan,15.1718,44.3244,17.15,58,87,2.18,YE,1682168686
